,index,sub_num,block_num,trial_num,task_num,old_num,word,grey,change_time,resp,resp_bin,RT,on_time,trial_time,word_time,cue_duration
39,39,9,1,40,1,0,beaker,None,None,2,2,1.610758575,299.7319954,299.7323502,302.7323502,3
40,40,9,1,41,3,1,tupperware,1,1.279232021,2,2,1.941867978,305.825242,305.8325939,308.8325939,3
41,41,9,1,42,2,0,tape,None,None,2,2,1.746834983,314.6256215,314.6330469,317.6330469,3
42,42,9,1,43,3,1,perfume,1,0.604936353,1,1,1.250290172,323.8062859,323.8084734,326.8084734,3
43,43,9,1,44,3,1,wheelbarrow,1,0.975210614,1,1,1.875240957,333.3345373,333.3422547,336.3422547,3
44,44,9,1,45,2,0,bleacher,None,None,1,1,1.726143013,342.1763008,342.1843344,345.1843344,3
45,45,9,1,46,3,0,quilt,1,0.923577891,1,1,1.891943728,351.0279052,351.0347216,354.0347216,3
46,46,9,1,47,3,1,whistle,1,1.139094963,1,1,1.89193912,360.8669591,360.868542,363.868542,3
47,47,9,1,48,2,0,flashlight,None,None,2,2,1.776098239,366.994763,367.0021138,370.0021138,3
48,48,9,2,1,3,1,podium,1,0.647643925,1,1,1.275216586,6,6.000762615,9.000762615,3
49,49,9,2,2,2,0,abacus,None,None,2,2,1.096714332,12.40704693,12.40939708,15.40939708,3
50,50,9,2,3,1,0,bamboo,None,None,2,2,1.540366608,19.13403729,19.13471348,22.13471348,3
51,51,9,2,4,2,1,slingshot,None,None,,,,27.69291562,27.69345017,30.69345017,3
52,52,9,2,5,3,0,suitcase,0,0.66329224,2,2,1.641909296,34.29033233,34.29372849,37.29372849,3
53,53,9,2,6,2,1,umbrella,None,None,1,1,1.886853998,41.04144222,41.04407344,44.04407344,3
54,54,9,2,7,3,0,tablet,1,1.053631718,1,1,1.608586954,47.98523825,47.98605329,50.98605329,3
55,55,9,2,8,1,1,tongs,None,None,2,2,0.945753499,57.23742628,57.24483539,60.24483539,3
56,56,9,2,9,1,1,wand,None,None,2,2,1.016218937,65.39096443,65.39519028,68.39519028,3
57,57,9,2,10,3,1,sled,0,1.19289701,2,2,1.941919946,72.47747805,72.47888128,75.47888128,3
58,58,9,2,11,1,0,dart,None,None,2,2,1.400054476,79.5974514,79.60418893,82.60418893,3
59,59,9,2,12,3,1,socket,1,1.216790735,2,2,1.575225444,88.05760515,88.06289689,91.06289689,3
60,60,9,2,13,,,,,,,,,96.10824491,96.11329806,99.11329806,3
61,61,9,2,14,2,1,toothpaste,None,None,1,1,1.340546471,105.5738234,105.5804332,108.5804332,3
62,62,9,2,15,3,0,fondue,1,0.610280647,1,1,1.21681628,113.7840248,113.78915,116.78915,3
63,63,9,2,16,1,0,aquarium,None,None,1,1,1.663918626,122.2225355,122.2228527,125.2228527,3
64,64,9,2,17,1,0,matchstick,None,None,2,2,1.416385795,130.9951543,130.9982887,133.9982887,3
65,65,9,2,18,3,1,pickle,1,0.821044167,1,1,1.666827262,139.8943704,139.8987059,142.8987059,3
66,66,9,2,19,2,1,vest,None,None,1,1,1.888723031,147.2634263,147.2657171,150.2657171,3
67,67,9,2,20,3,0,iron,0,0.513007691,1,1,1.175174039,154.9519895,154.9577472,157.9577472,3
